"year","zone","ratio"
"2010","S01001847","20.63"
"2011","S01001847","19.51"
"2012","S01001847","19.51"
"2003","S01001847","18.86"
"2004","S01001848","30.11"
"2005","S01001848","30.11"
"2006","S01001848","30.11"
"2007","S01001848","30.11"
"2008","S01001848","30.19"
"2009","S01001848","30.11"
"2010","S01001848","30.11"
"2011","S01001848","30.11"
"2012","S01001848","30.11"
"2003","S01001848","30.11"
"2004","S01001849","7.73"
"2005","S01001849","7.73"
"2006","S01001849","7.73"
"2007","S01001849","8.01"
"2008","S01001849","7.79"
"2009","S01001849","7.79"
"2010","S01001849","7.79"
"2011","S01001849","7.79"
"2012","S01001849","7.79"
"2003","S01001849","7.73"
"2004","S01001850","32.87"
"2005","S01001850","32.87"
"2006","S01001850","32.87"
"2007","S01001850","32.87"
"2008","S01001850","32.87"
"2009","S01001850","32.87"
"2010","S01001850","32.87"
"2011","S01001850","32.87"
"2012","S01001850","32.87"
"2003","S01001850","32.87"
"2004","S01001851","14.24"
"2005","S01001851","14.24"
"2006","S01001851","14.24"
"2007","S01001851","14.24"
"2008","S01001851","14.24"
"2009","S01001851","14.65"
"2010","S01001851","14.65"
"2011","S01001851","14.65"
"2012","S01001851","14.65"
"2003","S01001851","14.24"
"2004","S01001852","10.09"
"2005","S01001852","10.09"
"2006","S01001852","10.09"
"2007","S01001852","10.09"
"2008","S01001852","10.09"
"2009","S01001852","10.09"
"2010","S01001852","10.09"
"2011","S01001852","10.09"
"2012","S01001852","10.09"
"2003","S01001852","10.09"
"2004","S01001853","18.8"
"2005","S01001853","18.8"
"2006","S01001853","18.8"
"2007","S01001853","18.74"
"2008","S01001853","18.8"
"2009","S01001853","18.8"
"2010","S01001853","18.8"
"2011","S01001853","18.8"
"2012","S01001853","18.8"
"2003","S01001853","18.8"
"2004","S01001854","8.13"
"2005","S01001854","8.13"
"2006","S01001854","8.15"
"2007","S01001854","8.13"
"2008","S01001854","7.9"
"2009","S01001854","8.05"
"2010","S01001854","8.05"
"2011","S01001854","8.05"
"2012","S01001854","8.03"
"2003","S01001854","8.13"
"2004","S01001855","14.21"
"2005","S01001855","14.21"
"2006","S01001855","14.21"
"2007","S01001855","14.21"
"2008","S01001855","14.21"
"2009","S01001855","14.21"
"2010","S01001855","14.21"
"2011","S01001855","14.21"
"2012","S01001855","14.21"
"2003","S01001855","14.21"
"2004","S01001856","18.56"
"2005","S01001856","18.56"
"2006","S01001856","14.59"
"2007","S01001856","17.56"
"2008","S01001856","17.91"
"2009","S01001856","21.08"
"2010","S01001856","21.63"
"2011","S01001856","21.13"
"2012","S01001856","20.57"
"2003","S01001856","18.61"
